date,OT,start_date,end_date,search_fact,report_fact
2006-02-01,526306771,2006-02-01,2006-02-28,"The United States faces challenges in dealing with terrorism, natural disasters, and public health emergencies.; The Federal Emergency Management Agency (FEMA) designates counties or parishes for disaster assistance for individuals and households.; Most emergencies and disasters do not receive Federal disaster declarations in the United States.; The United States has a National Response Plan to coordinate federal responses to disasters and emergencies.; The United States government has official websites and programs dedicated to disaster assistance, such as the Federal Emergency Management Agency (FEMA) and the American Red Cross.",NA
2006-03-01,1484439479,2006-03-01,2006-03-31,"The United States government has official websites and programs dedicated to disaster assistance, such as the Federal Emergency Management Agency (FEMA) and the American Red Cross.; The Stafford Act provides major disaster and emergency assistance to states, and related to Stafford Act disasters and emergencies, and other; Floods are the most common and widespread of all natural disasters, and most communities in the United States experience flooding.; The EMS Compact has been enacted by legislation in 21 states to protect the public and enhance the Emergency Medical Services system in the United States.; The United States has experienced several disasters and emergencies in the past, including Hurricane Katrina and Hurricane Rita, which required federal funding and emergency responses.",NA
2006-04-01,1070282572,2006-04-01,2006-04-30,"The United States has experienced several disasters and emergencies in the past, including Hurricane Katrina and Hurricane Rita, which required federal funding and emergency responses.; The Federal Emergency Management Agency (FEMA) in the US Department of Homeland Security sponsors National Preparedness Month every September.; The United States has a National Disaster Medical System (NDMS), a nation-wide mutual aid network consisting of multiple agencies .; Objective facts about the Climate and Disaster situation:
The Robert T. Stafford Disaster Relief and Emergency Assistance Act clarifies the preference for local firms in the award of certain contracts for disaster relief efforts. 
Hurricane Katrina was one of the most devastating natural disasters in United States history.; The United States has a system in place to respond to disasters, with FEMA playing a key role in supporting state and local response and recovery operations.",NA
2006-05-01,1276519827,2006-05-01,2006-05-31,"The Office of Emergency Management in San José aims to lessen the impact of potential disasters and emergencies.; The April 12-14 weather events in Broward County were declared a major disaster in the State of Florida.; Objective facts about the Climate and Disaster situation:
The United States has a ""bottom-up"" system of emergency response, where local authorities are initially responsible for disaster response. 
Since 1973, FEMA has declared major disasters or emergencies, with 13 disaster declarations and 6 emergency declarations in the Central NH Region.; The United States has a history of declaring states of emergency and public health emergencies in response to disasters, such as Governor Murphy's declaration on March 9, 2020.; Flooding causes more deaths in the United States than any other thunderstorm-related hazard.",NA
2006-06-01,1051765227,2006-06-01,2006-06-30,"Flooding causes more deaths in the United States than any other thunderstorm-related hazard.; Hurricane Katrina became the deadliest U.S. hurricane since 1928 and likely the costliest natural disaster on record in the United States.; The emergency management organization in a State government has responsibilities that include disaster preparedness and support for emergency and trauma care.; Objective facts about the Climate and Disaster situation:
The United States experiences frequent floods, and social science hazards and disaster research has advanced in the country and internationally.; The US Army Corps of Engineers is authorized to conduct emergency management activities under Public Law 84-99 for flood control and other disasters.",NA
2006-07-01,447496606,2006-07-01,2006-07-31,"The US Army Corps of Engineers is authorized to conduct emergency management activities under Public Law 84-99 for flood control and other disasters.; The Navy Family Accountability and Assessment System (NFAAS) is a system for tracking the status of Navy personnel and their families during emergencies and disasters.; Floods are the most common natural disaster in the United States, yet most homeowners' insurance does not cover flood damage.; Objective facts about the Climate and Disaster situation: 
The New Madrid Seismic Zone (NMSZ) has a predicted cost of damages from a 7.6 magnitude seismic event, estimated at $96 billion in 1991 by the Missouri State Emergency Management Agency (SEMA) and FEMA.; The Caribbean Disaster Emergency Response Agency (CDERA) is responsible for disaster management in the Caribbean Community and Common Market (CARICOM).; The United States government has emergency acquisition flexibilities in place to facilitate national defense in the event of a national emergency or natural disaster.",NA
2006-08-01,674056204,2006-08-01,2006-08-31,"The United States government has emergency acquisition flexibilities in place to facilitate national defense in the event of a national emergency or natural disaster.; The Pandemic and All-Hazards Preparedness Act aims to improve the nation's ability to respond to public health emergencies and disasters.; The United States government has a history of emergency management and disaster response, with various agencies and departments involved in disaster planning, emergency medical services, and disaster risk reduction.; The United States has experienced disasters other than those resulting from natural causes in the past.; The Stafford Disaster Relief and Emergency Assistance Act ensures that State and local emergency preparedness operational plans address the needs of individuals with pets.",NA
2006-09-01,531860613,2006-09-01,2006-09-30,"The Stafford Disaster Relief and Emergency Assistance Act ensures that State and local emergency preparedness operational plans address the needs of individuals with pets.; Objective facts about the Climate and Disaster situation: 
The Federal Emergency Management Agency (FEMA) and state agencies like MEMA provide assistance to disaster victims, including temporary housing. 
DMORTs (Disaster Mortuary Operational Response Teams) are activated in response to large-scale disasters in the United States.; Objective facts about the Climate and Disaster situation:
The Presidential Declaration is a finding that a jurisdiction of the United States may receive Federal aid as a result of damages from a major disaster or emergency. 
The National Flood Insurance Program (NFIP) is a federal program that provides flood insurance to communities that adopt and enforce floodplain management regulations.; The use of GPS technology can reduce delay in the dispatch of emergency services during disasters.; The United States Federal Emergency Management Agency (FEMA) is an agency of the United States Department of Homeland Security, initially created to coordinate disaster relief efforts.",NA
2006-10-01,799601393,2006-10-01,2006-10-31,"The United States Federal Emergency Management Agency (FEMA) is an agency of the United States Department of Homeland Security, initially created to coordinate disaster relief efforts.; The Stafford Disaster Relief and Emergency Assistance Act provides $1,500,000,000 for disaster relief and emergency assistance, available until expended.; In 2006, the number of patients visiting EDs (Emergency Departments) has been growing rapidly, and EDs play a key role in public health surveillance and in disaster preparation and response.; Objective facts about the Climate and Disaster situation:
The National Response Plan aims to reduce the impact of terrorist attacks and natural disasters in the United States. 
The Department of Homeland Security and Emergency Management are key players in disaster response and recovery. 
There are special populations with physical, mental, or medical care needs who require assistance during disasters or emergencies.; The United States Government has official websites and resources for disaster relief and emergency assistance, such as HUD.gov and FEMA.gov.; The Pennsylvania Price Gouging Act was enacted on October 31, 2006, to prevent price gouging during and within 30 days of a state of disaster emergency declared by the Governor.",NA
2006-11-01,615538437,2006-11-01,2006-11-30,"The Pennsylvania Price Gouging Act was enacted on October 31, 2006, to prevent price gouging during and within 30 days of a state of disaster emergency declared by the Governor.; The United States Government has emphasized the importance of emergency preparedness and management, recognizing the potential for disasters to wreak havoc and pose serious risks to communities.; The United States experienced the largest blackout in its history in 2006, which had a significant impact on emergency medical services (EMS).; The United States has various emergency management plans and procedures in place to prepare for and respond to disasters, including hurricanes, floods, and terrorist acts.; The US government has established guidelines and protocols for disaster response and emergency management, including the use of foreign military and civil defence assets, and personnel accountability during emergencies.",NA
2006-12-01,157415279,2006-12-01,2006-12-31,"The US government has established guidelines and protocols for disaster response and emergency management, including the use of foreign military and civil defence assets, and personnel accountability during emergencies.; Federal aid helps states repair roads damaged by hurricanes and other natural disasters.; The National Disaster Medical System is a section within the U.S. Department of Homeland Security, Federal Emergency Management Agency (FEMA).; The United States government has various agencies and branches responsible for emergency management and disaster response, including the Department of Human Services, Federal Emergency Management Agency (FEMA), and the Centers for Disease Control and Prevention (CDC).; The research on comfort level of emergency medical service providers in responding to disasters was supported by the U.S. Government, P.H.S.",NA
2007-01-01,170147696,2007-01-01,2007-01-31,"The National Museum of the United States Army at Fort Belvoir, Virginia, is involved in national security emergency or disaster response efforts.; The 2003 electricity power blackout in the eastern parts of Canada and the United States and the 2000 water-borne disaster in Walkerton are examples of community-level emergency responses.; The Stafford Disaster Relief and Emergency Assistance Act is a law that provides assistance for disaster relief and emergency situations.; The United States Government has official websites and agencies dedicated to emergency management, preparedness, and response to disasters and public health emergencies.; Objective facts about the Climate and Disaster situation:
The United States has the dubious distinction of experiencing the most tornadoes of any country in the world. 
Floods are the most costly and destructive disasters, and most of the damage caused by Hurricane Katrina was caused by flooding.",NA
2007-02-01,236719341,2007-02-01,2007-02-28,"Objective facts about the Climate and Disaster situation:
The United States has the dubious distinction of experiencing the most tornadoes of any country in the world. 
Floods are the most costly and destructive disasters, and most of the damage caused by Hurricane Katrina was caused by flooding.; The United States is second only to Japan in economic damages resulting from natural disasters.; The United States Government has implemented various emergency management systems and protocols to respond to disasters and emergencies, including the Incident Management System and the National Guard.; The United States experiences significant losses due to floods, with over $1 billion in property losses each year.; The United States has experienced various natural and man-made disasters, with declarations made by each of the last 10 presidents, and data on requests for emergency assistance.",NA
2007-03-01,553822443,2007-03-01,2007-03-31,"The United States has experienced various natural and man-made disasters, with declarations made by each of the last 10 presidents, and data on requests for emergency assistance.; The Federal Emergency Management Agency (FEMA) plays a lead role in coordinating resources for emergency management and disaster response.; The search results primarily focus on emergency management, disaster response, and public health preparedness in the United States.; The United States government has official websites and agencies dedicated to disaster relief and emergency management, such as HHS, OSHA, and FEMA.; The primary mission of the Federal Emergency Management Agency (FEMA) is to reduce the loss of life and property and protect the Nation from all hazards, including natural disasters.",NA
2007-04-01,532814695,2007-04-01,2007-04-30,"The primary mission of the Federal Emergency Management Agency (FEMA) is to reduce the loss of life and property and protect the Nation from all hazards, including natural disasters.; Individuals seeking emergency assistance related to disasters, such as wildland-urban interface fires, are at elevated risk of psychopathology in the weeks after the event.; The United States has a vertical hierarchy of local, state, and federal agencies involved in disaster response and emergency management, including the Federal Emergency Management Agency (FEMA) and the State Emergency Response Team (SERT).; The search results primarily consist of archived web pages from 2007, providing information on disaster planning, risk communication, and emergency management.; The Federal Emergency Management Agency (FEMA) did not exist at the time of the Texas City disaster in 1947.; The Incident Command System is used in the United States for disaster management and emergency response.",NA
2007-05-01,287659459,2007-05-01,2007-05-31,"The Incident Command System is used in the United States for disaster management and emergency response.; The Governor of New York State may declare a disaster and request federal disaster assistance in the event of a severe drought.; The United States government and local agencies are working to improve disaster response capabilities, with a focus on emergency preparedness, safe response to disasters, and emergency contacts.; The United States has various emergency management agencies, state disaster behavior, and federal laws such as the Stafford Disaster Relief and Emergency Assistance Act to address disaster management and emergency planning.; The American Friends of Magen David Adom (AFMDA) ensures that Magen David Adom's (MDA) lifesaving teams are ready for every attack, disaster, and mass-casualty emergency.",NA
2007-06-01,220855449,2007-06-01,2007-06-30,"The American Friends of Magen David Adom (AFMDA) ensures that Magen David Adom's (MDA) lifesaving teams are ready for every attack, disaster, and mass-casualty emergency.; The United States government has official websites and agencies dedicated to emergency response, disaster management, and preparedness, such as the National Guard, State Department, and Federal Government websites.; The Humane Society of the United States (HSUS) offers disaster animal response and emergency animal shelter training courses throughout the year.; The United States has a system in place for declaring public health emergencies, which releases resources to handle actual or potential public health crises.; The American Red Cross responds to disasters within the United States and provides aid, including training local volunteers and staff.",NA
2007-07-01,196447065,2007-07-01,2007-07-31,"The American Red Cross responds to disasters within the United States and provides aid, including training local volunteers and staff.; The 171 Emergency Line is a voice message board service provided by NTT that is available when a disaster such as an earthquake or volcanic eruption occurs.; The United States federal government, through the National Emergency Medical Services, plays a role in disaster planning and response.; Objective facts about the Climate and Disaster situation:
The Sumner County Emergency Management works with private partners, Sumner County Animal Control, State of Tennessee, and U.S. Humane Society to provide emergency and disaster plans. 
The Office of Emergency Management in Mississauga reviews the Emergency Plan annually to reflect changes in the community and organization. 
The Federation's Disaster Relief Emergency Fund has released CHF 250,000 to support flood relief efforts in Sudan.; The U.S. government has established guidelines and checklists for emergency management and disaster preparedness, including accessible emergency shelters and training programs for emergency responders.; The Federal Emergency Management Agency (FEMA) encourages State and local governments to prepare for natural, technological, and man-made disasters.",NA
2007-08-01,343974381,2007-08-01,2007-08-31,"The Federal Emergency Management Agency (FEMA) encourages State and local governments to prepare for natural, technological, and man-made disasters.; The United States government has a Disaster Emergency Fund Code (DEFC) for emergency and disaster responses.; Objective facts about the Climate and Disaster situation:
The US Federal Emergency Management Agency (FEMA) provides assistance in emergency responses, including disaster assistance policy and regional headquarters support. 
The Defense Coordination Element (DCE) works towards recovery in disaster response missions, collocated with FEMA regional headquarters. 
The health sector plays a crucial role in planning and response to disasters, including declaring emergencies and activating mass casualty plans.; The State of Illinois has achieved National Emergency Management re-accreditation; The American Red Cross supports Baltimore County Office of Emergency Management through disaster operations such as sheltering and feeding.",NA
2007-09-01,212612327,2007-09-01,2007-09-30,"The American Red Cross supports Baltimore County Office of Emergency Management through disaster operations such as sheltering and feeding.; Flooding is the most pervasive natural disaster in the United States.; The United States has sustained 78 weather-related disasters with overall damages and costs exceeding one billion dollars for each event since 1980.; The United States Federal Emergency Management Agency (FEMA) has numerous detainment camps throughout the United States.; The U.S. Army Corps of Engineers is involved in debris management, removing debris caused by natural or manmade disasters.",NA
2007-10-01,263508453,2007-10-01,2007-10-31,"The United States has experienced severe natural disasters, including Hurricane Katrina, which was one of the worst natural disasters in terms of casualties, suffering, and financial cost.; The United States has laws and regulations in place to reduce national vulnerability to natural disasters, such as the Stafford Disaster Relief and Emergency Assistance Act.; Objective facts about the Climate and Disaster situation:
The United States has experienced significant disasters in the past, such as Hurricane Katrina and the September 11 attacks, which have led to the development of emergency preparedness and response policies.; The United States has legislation in place for disaster relief and emergency assistance, such as the Stafford Disaster Relief and Emergency Assistance Act.; The California Environmental Protection Agency (CalEPA) is National Incident Management System (NIMS) compliant for emergency preparedness and operates as a state agency with emergency response capabilities.",NA
2007-11-01,462481561,2007-11-01,2007-11-30,"The California Environmental Protection Agency (CalEPA) is National Incident Management System (NIMS) compliant for emergency preparedness and operates as a state agency with emergency response capabilities.; The United States has official guidelines and regulations for disaster and emergency response, including Presidential declarations and local area set-asides for contracts.; The Stafford Disaster Relief and Emergency Assistance Act is a key legislation related to disaster preparedness and response in the United States.; The United States Federal Government provides emergency loans to eligible family farmers affected by disasters through the Farm Service Agency.; The Stafford Disaster Relief and Emergency Act (42 USC 5174) and Title 44 of the Code of Federal Regulations provide financial assistance in disaster response and recovery.",NA
2007-12-01,259016112,2007-12-01,2007-12-31,"The Stafford Disaster Relief and Emergency Act (42 USC 5174) and Title 44 of the Code of Federal Regulations provide financial assistance in disaster response and recovery.; The United States has experienced catastrophic disasters, such as Hurricane Katrina, which demonstrate the importance of preparedness and response at the state, local, and federal levels.; The United States has a history of disaster incidents and outbreaks, with a focus on emergency medical services, transportation, and preparedness.; The United States experienced several disasters in 2007, including a tornado in Greensburg, Kansas, and an ice storm across the state.; The EM-DAT database tracks disasters with at least one of the following criteria: 10 fatalities, 100 affected people, a declaration of state of emergency, or a call for international assistance.; The United States has a system of emergency preparedness for the protection of life and property, as outlined in the Stafford Act.",NA
2008-01-01,318877644,2008-01-01,2008-01-31,"The United States has a system of emergency preparedness for the protection of life and property, as outlined in the Stafford Act.; The United States government has established emergency management systems, such as NIMS and ICS, to respond to disasters.; The Stafford Disaster Relief and Emergency Assistance Act defines an emergency as any occasion or instance that requires Federal assistance, as determined by the President.; There are various government agencies and organizations in the United States that provide emergency assistance and disaster response, such as FEMA, USAID/OFDA, and the VHA Office of Emergency Management.; The Stafford Act describes the programs and processes by which the Federal Government provides disaster and emergency assistance to State and local governments.",NA
2008-02-01,235827614,2008-02-01,2008-02-29,"The Stafford Act describes the programs and processes by which the Federal Government provides disaster and emergency assistance to State and local governments.; Objective facts about the Climate and Disaster situation:
The Emergency Management Assistance Compact (EMAC) was established in 2008 to facilitate mutual aid among states in responding to disasters. 
The U.S. Department of Labor's Occupational Safety and Health Administration (OSHA) published a ""Katrina Booklet"" in 2008, which contains general information on hazards that volunteers should be aware of when responding to natural disasters. 
The National Weather Service (NWS) conducted a service assessment of the Super Tuesday Tornado Outbreak of February 2008, which affected the southeastern United States.; The Federal Emergency Management Agency (FEMA) is a U.S. government agency tasked with disaster mitigation, preparedness, response, and recovery planning.; The United States National Response Framework (NRF) is part of the National Strategy for Homeland Security and guides how the nation responds to all types of disasters and emergencies.; Objective facts about the Climate and Disaster situation:
The United States government emphasizes the importance of bolstering the resilience of its society to sustain global leadership and economic competitiveness. 
The Federal Emergency Management Agency (FEMA) defines disaster as a situation that warrants action to protect life and property.",NA
2008-03-01,332518690,2008-03-01,2008-03-31,"Objective facts about the Climate and Disaster situation:
The United States government emphasizes the importance of bolstering the resilience of its society to sustain global leadership and economic competitiveness. 
The Federal Emergency Management Agency (FEMA) defines disaster as a situation that warrants action to protect life and property.; Objective facts about the Climate and Disaster situation: 
Federal service Governors will retain sufficient manpower and resources in their states for homeland security, disaster, and emergency response missions.; Objective facts about the Climate and Disaster situation:
The Stafford Disaster Relief and Emergency Assistance Act (Public Law 100-707) provides funding for disaster relief and emergency assistance, including evacuation costs and assistance. 
The National Disaster Risk Management Policy includes training for emergency/disaster response teams and declaration of a state of disaster, which conveys certain powers on the authorities.; The American Nurses Association has developed guidance on adapting standards of care under extreme conditions, such as disasters.; The National Guard was mobilized for a domestic emergency in response to a disaster, which was an unprecedented event.; The United States Army Corps of Engineers has a website that provides information on disaster response and emergency management.",NA
2008-04-01,327927689,2008-04-01,2008-04-30,"The United States Army Corps of Engineers has a website that provides information on disaster response and emergency management.; The United States experienced flooding in June 2008, resulting in disaster declarations in several states through the Federal Emergency Management Agency (FEMA).; The Federal Emergency Management Agency (FEMA) is working with eight states in the New Madrid Seismic Zone (NMSZ) in the central United States on a catastrophic contingency plan.; The United States has experienced various disasters and emergency situations, including Hurricane Katrina, which highlighted the importance of emergency preparedness and response.; Disasters, humanitarian crises, and conflicts have a disproportionate effect on already-vulnerable communities.",NA
2008-05-01,144886110,2008-05-01,2008-05-31,"Disasters, humanitarian crises, and conflicts have a disproportionate effect on already-vulnerable communities.; The search results do not provide any direct information on climate change or its impact on disasters. However, they do highlight the importance of disaster preparedness and response, emergency management, and critical care in the event of disasters.; The American Red Cross (ARC) and government agencies are involved in disaster relief efforts in the United States.; The U.S. Army Corps of Engineers can provide temporary emergency power following a natural disaster or emergency.; The Indiana Department of Health Division of Emergency Preparedness provides contact information for emergency preparedness.",NA
2008-06-01,269442265,2008-06-01,2008-06-30,"The Indiana Department of Health Division of Emergency Preparedness provides contact information for emergency preparedness.; The United States government has disaster assistance programs in place to provide aid in times of disasters and for emergency water conservation measures in severe droughts.; The United States is preparing for potential terrorist attacks, naturally occurring disease outbreaks, and natural disasters, with states planning for emergency preparedness.; The term ""natural disaster"" includes wildfires, hurricanes or excessive winds, drought, ice storms or blizzards, floods, or other resource-impacting events.; Objective facts about the Climate and Disaster situation: 
The State of Wisconsin has an Emergency Response Plan (WERP) in place to respond to disasters, which includes a Disaster Recovery Center (DRC) . 
Emergency Relief programs, such as those in Michigan, provide financial assistance and contracts with nonprofit organizations to help individuals affected by disasters .; The United States has various programs and agencies in place to respond to natural disasters and emergencies, including the Federal Emergency Management Agency (FEMA) and the National Flood Insurance Program.",NA
2008-07-01,471879662,2008-07-01,2008-07-31,"The United States has various programs and agencies in place to respond to natural disasters and emergencies, including the Federal Emergency Management Agency (FEMA) and the National Flood Insurance Program.; The U.S. civilian disaster agencies are preparing guidelines for the use of warm fresh whole blood transfusion in massive casualty scenarios.; The Federal Emergency Management Agency (FEMA) was established by an executive order in 1979, merging many of the separate disaster-related responsibilities.; The Emergency Management Assistance Compact (EMAC) is an agreement among member states to provide assistance after disasters overwhelm a state's capacity to respond.; Objective facts about the Climate and Disaster situation: 
The United States government has established various agencies and programs to respond to natural disasters and emergencies, including the Federal Emergency Management Agency (FEMA), the Department of Homeland Security (DHS), and the National Flood Insurance Program.",NA
2008-08-01,339294518,2008-08-01,2008-08-31,"Objective facts about the Climate and Disaster situation: 
The United States government has established various agencies and programs to respond to natural disasters and emergencies, including the Federal Emergency Management Agency (FEMA), the Department of Homeland Security (DHS), and the National Flood Insurance Program.; Bush declared 422 major disasters during his presidency, with governors petitioning for disaster declarations to receive emergency relief money.; The United States has experienced significant natural disasters, including Hurricane Katrina, which was the largest natural disaster in living memory, affecting millions of people.; Objective facts about the Climate and Disaster situation: 
NA; The Stafford Disaster Relief and Emergency Assistance Act establishes programs and processes for the federal government to provide major disaster and emergency assistance.",NA
2008-09-01,319512279,2008-09-01,2008-09-30,"The Army has a standardized system for accounting, assessing, managing, and monitoring personnel during disasters.; The Disaster Fraud Act of 2007 was enacted to enhance penalties for fraud related to emergency and disaster assistance.; The U.S. Army Corps of Engineers is prepared to respond to natural or man-made disasters.; According to the Federal Emergency Management Agency, Katrina is the costliest disaster ever to occur in the United States.; Objective facts about the Climate and Disaster situation:
Throughout the past year, U.S. Attorneys' Offices across the country have prosecuted numerous hurricane-related cases that involved a wide range of crimes. 
The Robert T. Stafford Disaster Relief and Emergency Assistance Act provides authority for disaster response and recovery.",NA
2008-10-01,448758799,2008-10-01,2008-10-31,"Objective facts about the Climate and Disaster situation:
Throughout the past year, U.S. Attorneys' Offices across the country have prosecuted numerous hurricane-related cases that involved a wide range of crimes. 
The Robert T. Stafford Disaster Relief and Emergency Assistance Act provides authority for disaster response and recovery.; The United States Government has plans in place for emergency management services, including evacuation and disaster relief .; The United States has experienced various natural disasters, including hurricanes, volcanic eruptions, and earthquakes, which have resulted in significant damage and loss of life.; The United States has a framework for disaster management, which includes the Federal Emergency Management Agency (FEMA) and state-level emergency management offices.; The United States has various programs and initiatives in place for emergency management and disaster response, including the Office for Domestic Preparedness (ODP) and the Department of Homeland Security's Office.",NA
2008-11-01,443670939,2008-11-01,2008-11-30,"The United States has various programs and initiatives in place for emergency management and disaster response, including the Office for Domestic Preparedness (ODP) and the Department of Homeland Security's Office.; The United States has various programs and initiatives in place to address disaster preparedness and response, including the Supplemental Revenue Assistance Program (SURE) and the Emergency Assistance for Livestock Honey Bees.; The U.S. Federal Emergency Management Agency (FEMA) provides financial assistance for disaster recovery, and the Stafford Act provides federal assistance to state and local governments impacted by significant disasters or emergencies.; The HIPAA Privacy Rule may be waived in emergency or disaster situations, as declared by the President or Secretary of Health and Human Services.; The Federal Emergency Management Agency (FEMA) provides data on declared disasters by year or state.",NA
2008-12-01,675925928,2008-12-01,2008-12-31,"The PETS Act amends the Robert T. Stafford Disaster Relief and Emergency Assistance Act to ensure that State and local emergency preparedness operational plans address the needs of individuals with household pets and service animals.; The United States has been involved in various disaster relief and management efforts, including providing aid to Ghana and responding to flooding in Honduras.; Floods are the most widespread natural disaster aside from wildfires, and 90% of all U.S. natural disasters declared by the President involve some sort of flooding.; The ASEAN Agreement on Disaster Management and Emergency Response (AADMER) was activated in 2008 to provide urgent relief assistance to affected states.; The Mine Improvement and New Emergency Response Act of 2006 (MINER Act) was passed in response to three underground coal mining incidents that resulted in deaths.",NA
2009-01-01,364704389,2009-01-01,2009-01-31,"The Mine Improvement and New Emergency Response Act of 2006 (MINER Act) was passed in response to three underground coal mining incidents that resulted in deaths.; More than 30 disasters that require an emergency response are declared each year by the federal government in the United States.; The American Red Cross has an urgent need for volunteers in disaster response and emergency preparedness.; The Federal Emergency Management Agency (FEMA) is responsible for emergency management and disaster relief in the United States.; Objective facts about the Climate and Disaster situation:
Ellis County, TX has an emergency management plan in place for short-term and long-term recovery from catastrophic disasters or emergencies. 
Floyd County, GA has a history of hazards and has had seven Presidential Disaster declarations. 
ReadyWisconsin is a one-stop shop for emergency and disaster preparedness, part of the Wisconsin Department of Military Affairs. 
The ASPCA provides disaster preparedness tips, including storing an emergency kit and leashes near an exit. 
Meriwether County, GA's Emergency Management Agency handles most emergencies or disasters at the local level without state or federal assistance. 
Governor Pat Quinn issued a state disaster declaration for several counties in Illinois to help with disaster relief.",NA
2009-02-01,438445357,2009-02-01,2009-02-28,"Objective facts about the Climate and Disaster situation:
Ellis County, TX has an emergency management plan in place for short-term and long-term recovery from catastrophic disasters or emergencies. 
Floyd County, GA has a history of hazards and has had seven Presidential Disaster declarations. 
ReadyWisconsin is a one-stop shop for emergency and disaster preparedness, part of the Wisconsin Department of Military Affairs. 
The ASPCA provides disaster preparedness tips, including storing an emergency kit and leashes near an exit. 
Meriwether County, GA's Emergency Management Agency handles most emergencies or disasters at the local level without state or federal assistance. 
Governor Pat Quinn issued a state disaster declaration for several counties in Illinois to help with disaster relief.; The United States has established a Disaster Assistance Emergency Fund (DAEF) with a deposit of $200,000 from the Government of the Republic of the Marshall Islands and the Government of the United States.; The American Red Cross provides disaster relief and has an urgent need for volunteers.; The Love Canal disaster in 1978 led to the relocation of 239 families and the declaration of a state of emergency.; Objective facts about the Climate and Disaster situation:
The United States Commission on National Security/21st Century has a Road Map for National Security, which includes emergency preparedness and disaster relief responsibilities. 
FEMA is responsible for disaster relief and emergency preparedness in the United States.",NA
2009-03-01,601718759,2009-03-01,2009-03-31,"Objective facts about the Climate and Disaster situation:
The United States Commission on National Security/21st Century has a Road Map for National Security, which includes emergency preparedness and disaster relief responsibilities. 
FEMA is responsible for disaster relief and emergency preparedness in the United States.; The United States government has various agencies and processes in place to declare a major disaster or emergency, including the National Emergencies Act and the Federal Emergency Management Agency (FEMA).; Objective facts about the Climate and Disaster situation:
The City of La Mirada has an emergency preparedness program that promotes disaster planning and coordination in advance of natural or man-made disasters. 
Flood insurance claims come from outside high-risk flood areas, with flooding being the most common and costly natural disaster in the United States.; The National Hurricane Center conducts an extensive outreach and education program, training U.S. emergency managers and representatives from many other countries affected by hurricanes.; Objective facts about the Climate and Disaster situation: 
Previous disasters have illustrated the importance of preventing the transmission of infectious agents during a disaster. 
Hurricane Katrina, which hit the Gulf Coast on August 29, 2005, was one of the costliest and deadliest natural disasters in US history, killing 1,836 people.; The United States government has established protocols and resources for emergency management, including the Stafford Act, which provides assistance in the event of disasters or emergencies.",NA
2009-04-01,618616169,2009-04-01,2009-04-30,"The United States government has established protocols and resources for emergency management, including the Stafford Act, which provides assistance in the event of disasters or emergencies.; The United States government has official websites and resources dedicated to disaster preparedness and response, such as FEMA and the City of Houston's OEM.; The United States government has various agencies and resources in place to respond to emergencies and disasters, including the Federal Emergency Management Agency (FEMA), the U.S. Department of Housing and Urban Development, and the United States Environmental Protection Agency.; The United States has experienced various disasters, including hurricanes, contaminating events, and emergencies, highlighting the need for emergency preparedness and response.; The Federal Emergency Management Agency (FEMA) provides aid in disaster relief assistance.",NA
2009-05-01,513403908,2009-05-01,2009-05-31,"The Federal Emergency Management Agency (FEMA) provides aid in disaster relief assistance.; The Institute of Medicine's Committee on the Future of Emergency Care in the United States Hearth System and Board on Health Care Services published a report on hospital-based emergency care in 2009.; The United States Department of Agriculture (USDA) and the Federal Emergency Management Agency (FEMA) have roles in animal disaster response.; The United States has various emergency preparedness guides and resources available, including the Department of Defense Emergency Preparedness Guide and the American National Red Cross's Flood Safety Checklist.; The United States government has awarded disaster assistance grants to states to cover costs of emergency repairs to damaged railroad infrastructure resulting from natural disasters.",NA
2009-06-01,668556959,2009-06-01,2009-06-30,"Recent large-scale emergencies and disasters in the United States have displayed elements of organized medical emergency response, with hospitals playing a crucial role.; Objective facts about the Climate and Disaster situation:
The United States has over one million infected persons, and there is a need for emergency preparedness and disaster response planning. 
Local, state, and federal emergency management professionals coordinate disaster response, with elected and appointed officials playing a key role. 
Arkansas is set to receive $70 million in U.S. aid for disaster recovery.; The United States government has established emergency management systems and protocols to respond to disasters, including executive orders and proclamations declaring states of disaster.; The Federal Emergency Management Agency (FEMA) is a key organization involved in disaster response and management in the United States.; The United States Department of Agriculture's Farm Service Agency has an Emergency Disaster Designation and Declaration Process in place to provide assistance to agricultural producers affected by disasters.",NA
2009-07-01,331548178,2009-07-01,2009-07-31,"The United States Department of Agriculture's Farm Service Agency has an Emergency Disaster Designation and Declaration Process in place to provide assistance to agricultural producers affected by disasters.; The Robert T. Stafford Disaster Relief and Emergency Assistance Act is a federal law that allows the President of the United States to declare a disaster, triggering federal assistance.; The United States has experienced various emergency and disaster situations, including natural disasters and economic crises, such as the Great Depression.; The United States has laws and regulations in place to respond to emergencies and natural disasters, such as the Occupational Safety and Health Administration's (OSHA) Hazardous Waste Operations and Emergency Response Standard (HAZWOPER) and the Emergency Banking Act.; The United States has established various agencies and programs to respond to disasters and emergencies, such as FEMA, the Department of Homeland Security, and the United States Emergency Refugee and Migration Assistance Fund.",NA
