MapDate,AreaOfInterest,OT,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,date,start_date,end_date,search_fact,report_fact
20200211,Total,78.22,21.78,8.87,2.15,0.14,0.0,2020-02-11,2020-02-17,1,2020-02-11,2020-02-11,2020-02-17,December-February precipitation was generally drier than normal across parts of the western contiguous U.S.; The contiguous United States (CONUS) covers roughly 6.2 Million km2.,"Objective facts about the Monthly Contiguous U.S. Precipitation situation:
February 2020 was drier than normal across the West Coast to Four Corners region, southern Texas, and central and northern Plains to Great Lakes. Ten states in the West, Plains, and Great Lakes had a rank in the driest third of the 126-year historical record for February.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:**
The February precipitation total for the contiguous U.S. was 2.40 inches, 0.27 inch above average and ranked among the wettest one-third of the historical period of record. 

**"
20200204,Total,76.93,23.07,8.88,2.06,0.06,0.0,2020-02-04,2020-02-10,1,2020-02-04,2020-02-04,2020-02-10,The contiguous United States (CONUS) covers roughly 6.2 Million km2.; The January precipitation total for the contiguous U.S. was reported in February 2020.,"Objective facts about the Monthly Contiguous U.S. Precipitation situation:
February 2020 was drier than normal across the West Coast to Four Corners region, southern Texas, and central and northern Plains to Great Lakes. Ten states in the West, Plains, and Great Lakes had a rank in the driest third of the 126-year historical record for February.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:**
The February precipitation total for the contiguous U.S. was 2.40 inches, 0.27 inch above average and ranked among the wettest one-third of the historical period of record. 

**"
20200128,Total,76.11,23.89,9.2,2.01,0.04,0.0,2020-01-28,2020-02-03,1,2020-01-28,2020-01-28,2020-02-03,"The January precipitation total for the contiguous U.S. was reported in February 2020.; The January 2020 precipitation total for the contiguous U.S. was drier than normal, with 10 out of 12 states receiving below-average precipitation.","The contiguous U.S. had a mixed precipitation anomaly pattern in January 2020, with above-normal precipitation in the Pacific Northwest, central Texas to the Great Lakes, and from the Lower Mississippi Valley to Appalachian Mountains, while the Southwest and much of the High Plains, Rio Grande Valley, and East Coast were drier than normal.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
February 2020 was drier than normal across the West Coast to Four Corners region, southern Texas, and central and northern Plains to Great Lakes. Ten states in the West, Plains, and Great Lakes had a rank in the driest third of the 126-year historical record for February.; The January precipitation total for the contiguous U.S. was 2.70 inches, 0.39 inch above average, and ranked in the middle third of the 126-year period of record.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:**
The February precipitation total for the contiguous U.S. was 2.40 inches, 0.27 inch above average and ranked among the wettest one-third of the historical period of record. 

**"
20200121,Total,78.18,21.82,9.6,2.84,0.06,0.0,2020-01-21,2020-01-27,1,2020-01-21,2020-01-21,2020-01-27,"The January 2020 precipitation total for the contiguous U.S. was drier than normal, with 10 out of 12 states receiving below-average precipitation.; The Pacific weather systems migrated across the contiguous United States in a fairly westerly jet stream flow, dropping precipitation along the way.","The contiguous U.S. had a mixed precipitation anomaly pattern in January 2020, with above-normal precipitation in the Pacific Northwest, central Texas to the Great Lakes, and from the Lower Mississippi Valley to Appalachian Mountains, while the Southwest and much of the High Plains, Rio Grande Valley, and East Coast were drier than normal.; The January precipitation total for the contiguous U.S. was 2.70 inches, 0.39 inch above average, and ranked in the middle third of the 126-year period of record."
20200114,Total,79.49,20.51,9.12,2.61,0.1,0.0,2020-01-14,2020-01-20,1,2020-01-14,2020-01-14,2020-01-20,"The Pacific weather systems migrated across the contiguous United States in a fairly westerly jet stream flow, dropping precipitation along the way.; The contiguous U.S. experienced a mix of drought and above-average precipitation in 2019, with about 5% of the area in drought and Washington state receiving above-average precipitation.","The contiguous U.S. had a mixed precipitation anomaly pattern in January 2020, with above-normal precipitation in the Pacific Northwest, central Texas to the Great Lakes, and from the Lower Mississippi Valley to Appalachian Mountains, while the Southwest and much of the High Plains, Rio Grande Valley, and East Coast were drier than normal.; The January precipitation total for the contiguous U.S. was 2.70 inches, 0.39 inch above average, and ranked in the middle third of the 126-year period of record."
20200107,Total,78.78,21.22,9.53,2.7,0.1,0.0,2020-01-07,2020-01-13,1,2020-01-07,2020-01-07,2020-01-13,"The contiguous U.S. experienced a mix of drought and above-average precipitation in 2019, with about 5% of the area in drought and Washington state receiving above-average precipitation.; The contiguous United States had its second-wettest year on record in 2019, with annual precipitation totals ranking second highest in the 125-year record.","The contiguous U.S. had a mixed precipitation anomaly pattern in January 2020, with above-normal precipitation in the Pacific Northwest, central Texas to the Great Lakes, and from the Lower Mississippi Valley to Appalachian Mountains, while the Southwest and much of the High Plains, Rio Grande Valley, and East Coast were drier than normal.; The January precipitation total for the contiguous U.S. was 2.70 inches, 0.39 inch above average, and ranked in the middle third of the 126-year period of record."
20191231,Total,78.53,21.47,9.53,3.21,0.06,0.0,2019-12-31,2020-01-06,1,2019-12-31,2019-12-31,2020-01-06,"The contiguous United States had its second-wettest year on record in 2019, with annual precipitation totals ranking second highest in the 125-year record.; Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
December 2019 was drier than normal across much of the Pacific Northwest to northern Rockies and northern High Plains, and from the southern Plains to Mid-Mississippi Valley.; The contiguous U.S. had a mixed precipitation anomaly pattern in January 2020, with above-normal precipitation in the Pacific Northwest, central Texas to the Great Lakes, and from the Lower Mississippi Valley to Appalachian Mountains, while the Southwest and much of the High Plains, Rio Grande Valley, and East Coast were drier than normal.; The December precipitation total for the contiguous U.S. was 2.53 inches, 0.18 inch above average, and ranked in the middle third of the 125-year period of record.; The January precipitation total for the contiguous U.S. was 2.70 inches, 0.39 inch above average, and ranked in the middle third of the 126-year period of record."
20191224,Total,77.34,22.66,10.45,3.5,0.09,0.0,2019-12-24,2019-12-30,1,2019-12-24,2019-12-24,2019-12-30,"Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.; The contiguous United States experienced generally drier than normal precipitation in December 2019, especially in the northern Rockies Mountains.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
December 2019 was drier than normal across much of the Pacific Northwest to northern Rockies and northern High Plains, and from the southern Plains to Mid-Mississippi Valley.; The December precipitation total for the contiguous U.S. was 2.53 inches, 0.18 inch above average, and ranked in the middle third of the 125-year period of record."
20191217,Total,76.14,23.86,10.74,3.41,0.09,0.0,2019-12-17,2019-12-23,1,2019-12-17,2019-12-17,2019-12-23,"The contiguous United States experienced generally drier than normal precipitation in December 2019, especially in the northern Rockies Mountains.; Total annual precipitation has increased over land in the contiguous 48 states since 1901.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
December 2019 was drier than normal across much of the Pacific Northwest to northern Rockies and northern High Plains, and from the southern Plains to Mid-Mississippi Valley.; The December precipitation total for the contiguous U.S. was 2.53 inches, 0.18 inch above average, and ranked in the middle third of the 125-year period of record."
20191210,Total,75.27,24.73,9.46,3.73,0.09,0.0,2019-12-10,2019-12-16,1,2019-12-10,2019-12-10,2019-12-16,"Total annual precipitation has increased over land in the contiguous 48 states since 1901.; The contiguous United States east of the Rockies experienced dry Canadian air in December 2019, with some areas having above-normal precipitation.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
December 2019 was drier than normal across much of the Pacific Northwest to northern Rockies and northern High Plains, and from the southern Plains to Mid-Mississippi Valley.; The December precipitation total for the contiguous U.S. was 2.53 inches, 0.18 inch above average, and ranked in the middle third of the 125-year period of record."
20191203,Total,72.03,27.97,9.91,3.85,0.09,0.0,2019-12-03,2019-12-09,1,2019-12-03,2019-12-03,2019-12-09,"The contiguous United States east of the Rockies experienced dry Canadian air in December 2019, with some areas having above-normal precipitation.; The contiguous United States is on pace to set a new annual rainfall record in 2019.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
December 2019 was drier than normal across much of the Pacific Northwest to northern Rockies and northern High Plains, and from the southern Plains to Mid-Mississippi Valley.; The December precipitation total for the contiguous U.S. was 2.53 inches, 0.18 inch above average, and ranked in the middle third of the 125-year period of record."
20191126,Total,70.89,29.11,11.95,4.8,0.16,0.0,2019-11-26,2019-12-02,1,2019-11-26,2019-11-26,2019-12-02,"The contiguous United States is on pace to set a new annual rainfall record in 2019.; Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.","The contiguous U.S. experienced a mixed precipitation pattern in November 2019, with wetter-than-normal conditions in the Southwest, parts of the central to northern Rockies and Plains, western Texas to the Ohio Valley, parts of the coastal Southeast, and parts of the Great Lakes and northern New England. Drier-than-normal conditions were observed in the Pacific Northwest, the northern half of California to parts of the northern Rockies, the central Plains to southern Great Lakes, much of Texas and the Gulf Coast states, and much of the Mid-Atlantic to southern New England.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
December 2019 was drier than normal across much of the Pacific Northwest to northern Rockies and northern High Plains, and from the southern Plains to Mid-Mississippi Valley.; The November contiguous U.S. precipitation total was 1.86 inches, 0.37 inch below average, ranking in the driest third of the 125-year period of record. Above-average precipitation was observed across the Southwest and parts of the Rockies, Great Plains, Ohio Valley, and coastal Southeast.; The December precipitation total for the contiguous U.S. was 2.53 inches, 0.18 inch above average, and ranked in the middle third of the 125-year period of record."
20191119,Total,73.58,26.42,12.2,4.84,0.16,0.0,2019-11-19,2019-11-25,1,2019-11-19,2019-11-19,2019-11-25,"Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.; The November precipitation total for the contiguous U.S. was average.","The contiguous U.S. experienced a mixed precipitation pattern in November 2019, with wetter-than-normal conditions in the Southwest, parts of the central to northern Rockies and Plains, western Texas to the Ohio Valley, parts of the coastal Southeast, and parts of the Great Lakes and northern New England. Drier-than-normal conditions were observed in the Pacific Northwest, the northern half of California to parts of the northern Rockies, the central Plains to southern Great Lakes, much of Texas and the Gulf Coast states, and much of the Mid-Atlantic to southern New England.; The November contiguous U.S. precipitation total was 1.86 inches, 0.37 inch below average, ranking in the driest third of the 125-year period of record. Above-average precipitation was observed across the Southwest and parts of the Rockies, Great Plains, Ohio Valley, and coastal Southeast."
20191112,Total,73.37,26.63,12.92,4.93,0.04,0.0,2019-11-12,2019-11-18,1,2019-11-12,2019-11-12,2019-11-18,The November precipitation total for the contiguous U.S. was average.; The contiguous United States east of the Rocky Mountains has a mesoscale convective system (MCS) database covering the years 2004 to 2016.,"The contiguous U.S. experienced a mixed precipitation pattern in November 2019, with wetter-than-normal conditions in the Southwest, parts of the central to northern Rockies and Plains, western Texas to the Ohio Valley, parts of the coastal Southeast, and parts of the Great Lakes and northern New England. Drier-than-normal conditions were observed in the Pacific Northwest, the northern half of California to parts of the northern Rockies, the central Plains to southern Great Lakes, much of Texas and the Gulf Coast states, and much of the Mid-Atlantic to southern New England.; The November contiguous U.S. precipitation total was 1.86 inches, 0.37 inch below average, ranking in the driest third of the 125-year period of record. Above-average precipitation was observed across the Southwest and parts of the Rockies, Great Plains, Ohio Valley, and coastal Southeast."
20191105,Total,75.01,24.99,13.75,5.28,0.44,0.0,2019-11-05,2019-11-11,1,2019-11-05,2019-11-05,2019-11-11,The contiguous United States east of the Rocky Mountains has a mesoscale convective system (MCS) database covering the years 2004 to 2016.; Above-average precipitation fell across much of the eastern half of the contiguous U.S. in October 2019. The average precipitation last month across the contiguous U.S. was 3.14 inches (0.98 of an inch above average) and ranked as the eighth wettest October on record.,"The contiguous U.S. experienced a mixed precipitation pattern in November 2019, with wetter-than-normal conditions in the Southwest, parts of the central to northern Rockies and Plains, western Texas to the Ohio Valley, parts of the coastal Southeast, and parts of the Great Lakes and northern New England. Drier-than-normal conditions were observed in the Pacific Northwest, the northern half of California to parts of the northern Rockies, the central Plains to southern Great Lakes, much of Texas and the Gulf Coast states, and much of the Mid-Atlantic to southern New England.; The November contiguous U.S. precipitation total was 1.86 inches, 0.37 inch below average, ranking in the driest third of the 125-year period of record. Above-average precipitation was observed across the Southwest and parts of the Rockies, Great Plains, Ohio Valley, and coastal Southeast."
20191029,Total,70.15,29.85,15.59,6.51,0.43,0.0,2019-10-29,2019-11-04,1,2019-10-29,2019-10-29,2019-11-04,Above-average precipitation fell across much of the eastern half of the contiguous U.S. in October 2019. The average precipitation last month across the contiguous U.S. was 3.14 inches (0.98 of an inch above average) and ranked as the eighth wettest October on record.; The annual average precipitation in the continental United States is 30 inches.,"The contiguous U.S. experienced a mixed precipitation pattern in November 2019, with wetter-than-normal conditions in the Southwest, parts of the central to northern Rockies and Plains, western Texas to the Ohio Valley, parts of the coastal Southeast, and parts of the Great Lakes and northern New England. Drier-than-normal conditions were observed in the Pacific Northwest, the northern half of California to parts of the northern Rockies, the central Plains to southern Great Lakes, much of Texas and the Gulf Coast states, and much of the Mid-Atlantic to southern New England.; The October precipitation total for the contiguous U.S. was 3.14 inches, 0.98 inch above average, and ranked as the eighth wettest October in the 125-year period of record.; The November contiguous U.S. precipitation total was 1.86 inches, 0.37 inch below average, ranking in the driest third of the 125-year period of record. Above-average precipitation was observed across the Southwest and parts of the Rockies, Great Plains, Ohio Valley, and coastal Southeast."
20191022,Total,67.01,32.99,18.36,7.45,0.77,0.0,2019-10-22,2019-10-28,1,2019-10-22,2019-10-22,2019-10-28,The annual average precipitation in the continental United States is 30 inches.; The 12-month period ending in June 2019 was the wettest year-long period on record for the contiguous United States.,"The October precipitation total for the contiguous U.S. was 3.14 inches, 0.98 inch above average, and ranked as the eighth wettest October in the 125-year period of record."
20191015,Total,64.96,35.04,18.52,7.99,1.24,0.0,2019-10-15,2019-10-21,1,2019-10-15,2019-10-15,2019-10-21,The 12-month period ending in June 2019 was the wettest year-long period on record for the contiguous United States.; The contiguous United States has 344 climate divisions that report daily measurements of precipitation and/or temperature.,"The October precipitation total for the contiguous U.S. was 3.14 inches, 0.98 inch above average, and ranked as the eighth wettest October in the 125-year period of record."
20191008,Total,67.35,32.65,17.88,6.66,1.15,0.0,2019-10-08,2019-10-14,1,2019-10-08,2019-10-08,2019-10-14,"The contiguous United States has 344 climate divisions that report daily measurements of precipitation and/or temperature.; The contiguous U.S. tied as second warmest September in 2019, with a September precipitation total.","The October precipitation total for the contiguous U.S. was 3.14 inches, 0.98 inch above average, and ranked as the eighth wettest October in the 125-year period of record."
20191001,Total,65.15,34.85,16.96,5.3,0.8,0.0,2019-10-01,2019-10-07,1,2019-10-01,2019-10-01,2019-10-07,"The contiguous U.S. tied as second warmest September in 2019, with a September precipitation total.; Above-average precipitation was observed across much of the eastern half of the contiguous U.S. in October 2019, with Mississippi ranking as the wettest state during that month.","The October precipitation total for the contiguous U.S. was 3.14 inches, 0.98 inch above average, and ranked as the eighth wettest October in the 125-year period of record."
20190924,Total,64.43,35.57,16.23,3.72,0.4,0.0,2019-09-24,2019-09-30,1,2019-09-24,2019-09-24,2019-09-30,"Above-average precipitation was observed across much of the eastern half of the contiguous U.S. in October 2019, with Mississippi ranking as the wettest state during that month.; Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
Precipitation was below normal from the Lower and Mid-Mississippi Valley to the Gulf and East Coasts, in parts of the southern to central Plains, and much of the Southwest.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The September precipitation total for the contiguous U.S. was 2.42 inches, 0.07 inch below average, ranking in the middle third of the 125-year period of record. Above- to much-above-average precipitation was observed across parts of the West, the northern Plains, and portions of the Great Lakes. North Dakota had its wettest September on record. Pronounced dry conditions across the South, Ohio Valley, and parts of the mid-Atlantic contributed to a “flash drought” which emerged during September."
20190917,Total,67.47,32.53,13.72,3.9,0.51,0.0,2019-09-17,2019-09-23,1,2019-09-17,2019-09-17,2019-09-23,"Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.; The contiguous United States has experienced extreme precipitation events, including heavy rainfall and flooding, in recent years.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
Precipitation was below normal from the Lower and Mid-Mississippi Valley to the Gulf and East Coasts, in parts of the southern to central Plains, and much of the Southwest.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The September precipitation total for the contiguous U.S. was 2.42 inches, 0.07 inch below average, ranking in the middle third of the 125-year period of record. Above- to much-above-average precipitation was observed across parts of the West, the northern Plains, and portions of the Great Lakes. North Dakota had its wettest September on record. Pronounced dry conditions across the South, Ohio Valley, and parts of the mid-Atlantic contributed to a “flash drought” which emerged during September."
20190910,Total,69.27,30.73,14.28,3.46,0.5,0.0,2019-09-10,2019-09-16,1,2019-09-10,2019-09-10,2019-09-16,"The contiguous United States has experienced extreme precipitation events, including heavy rainfall and flooding, in recent years.; The contiguous United States experienced widespread flash drought in 2019, which is often tied to La Niña events.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
Precipitation was below normal from the Lower and Mid-Mississippi Valley to the Gulf and East Coasts, in parts of the southern to central Plains, and much of the Southwest.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The September precipitation total for the contiguous U.S. was 2.42 inches, 0.07 inch below average, ranking in the middle third of the 125-year period of record. Above- to much-above-average precipitation was observed across parts of the West, the northern Plains, and portions of the Great Lakes. North Dakota had its wettest September on record. Pronounced dry conditions across the South, Ohio Valley, and parts of the mid-Atlantic contributed to a “flash drought” which emerged during September."
20190903,Total,70.19,29.81,11.33,2.34,0.41,0.0,2019-09-03,2019-09-09,1,2019-09-03,2019-09-03,2019-09-09,"The contiguous United States experienced widespread flash drought in 2019, which is often tied to La Niña events.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 125-year period of record.","Objective facts about the Monthly Contiguous U.S. Precipitation situation:
Precipitation was below normal from the Lower and Mid-Mississippi Valley to the Gulf and East Coasts, in parts of the southern to central Plains, and much of the Southwest.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The September precipitation total for the contiguous U.S. was 2.42 inches, 0.07 inch below average, ranking in the middle third of the 125-year period of record. Above- to much-above-average precipitation was observed across parts of the West, the northern Plains, and portions of the Great Lakes. North Dakota had its wettest September on record. Pronounced dry conditions across the South, Ohio Valley, and parts of the mid-Atlantic contributed to a “flash drought” which emerged during September."
20190827,Total,71.2,28.8,10.52,2.31,0.38,0.0,2019-08-27,2019-09-02,1,2019-08-27,2019-08-27,2019-09-02,"The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, ranking in the middle third of the 125-year period of record.; The contiguous United States experienced cold fronts and rain in August 2019, with some areas receiving precipitation below 50% of normal.","August 2019 was drier than normal across much of the West (especially the Southwest) to southern Plains and parts of the Midwest. Nine states had a rank in the driest third of the 125-year historical record for August.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
Precipitation was below normal from the Lower and Mid-Mississippi Valley to the Gulf and East Coasts, in parts of the southern to central Plains, and much of the Southwest.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, and ranked in the middle third of the 125-year period of record.; Objective facts about the Monthly Contiguous U.S. Precipitation situation:
The September precipitation total for the contiguous U.S. was 2.42 inches, 0.07 inch below average, ranking in the middle third of the 125-year period of record. Above- to much-above-average precipitation was observed across parts of the West, the northern Plains, and portions of the Great Lakes. North Dakota had its wettest September on record. Pronounced dry conditions across the South, Ohio Valley, and parts of the mid-Atlantic contributed to a “flash drought” which emerged during September."
20190820,Total,72.41,27.59,7.95,1.79,0.26,0.0,2019-08-20,2019-08-26,1,2019-08-20,2019-08-20,2019-08-26,"The contiguous United States experienced cold fronts and rain in August 2019, with some areas receiving precipitation below 50% of normal.; The contiguous United States is experiencing drought conditions, with parts of Texas and other regions receiving little to no rainfall.","August 2019 was drier than normal across much of the West (especially the Southwest) to southern Plains and parts of the Midwest. Nine states had a rank in the driest third of the 125-year historical record for August.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, and ranked in the middle third of the 125-year period of record."
20190813,Total,74.7,25.3,6.79,1.38,0.16,0.0,2019-08-13,2019-08-19,1,2019-08-13,2019-08-13,2019-08-19,"The contiguous United States is experiencing drought conditions, with parts of Texas and other regions receiving little to no rainfall.; August 2019 was generally drier than normal across parts of the west and south-central contiguous U.S.","August 2019 was drier than normal across much of the West (especially the Southwest) to southern Plains and parts of the Midwest. Nine states had a rank in the driest third of the 125-year historical record for August.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, and ranked in the middle third of the 125-year period of record."
20190806,Total,76.05,23.95,5.59,0.8,0.14,0.0,2019-08-06,2019-08-12,1,2019-08-06,2019-08-06,2019-08-12,"August 2019 was generally drier than normal across parts of the west and south-central contiguous U.S.; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record.","August 2019 was drier than normal across much of the West (especially the Southwest) to southern Plains and parts of the Midwest. Nine states had a rank in the driest third of the 125-year historical record for August.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, and ranked in the middle third of the 125-year period of record."
20190730,Total,77.16,22.84,6.93,1.31,0.14,0.0,2019-07-30,2019-08-05,1,2019-07-30,2019-07-30,2019-08-05,"The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record.; Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**
Hurricane Barry brought heavy rain to the Lower Mississippi Valley in mid-July, resulting in above-normal precipitation and below-normal temperatures in this region. Otherwise, a high pressure ridge dominated the southern and western CONUS during July, keeping precipitation below normal. 

**; August 2019 was drier than normal across much of the West (especially the Southwest) to southern Plains and parts of the Midwest. Nine states had a rank in the driest third of the 125-year historical record for August.; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record.; The August precipitation total for the contiguous U.S. was 2.74 inches, 0.12 inch above average, and ranked in the middle third of the 125-year period of record."
20190723,Total,79.49,20.51,6.58,1.33,0.14,0.0,2019-07-23,2019-07-29,1,2019-07-23,2019-07-23,2019-07-29,"Historical temperature, precipitation, and Palmer drought data from 1895 to present for climate divisions, states, and regions in the contiguous U.S. are available.; The contiguous United States experienced cool temperature departures from average in July 2019.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**
Hurricane Barry brought heavy rain to the Lower Mississippi Valley in mid-July, resulting in above-normal precipitation and below-normal temperatures in this region. Otherwise, a high pressure ridge dominated the southern and western CONUS during July, keeping precipitation below normal. 

**; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record."
20190716,Total,80.42,19.58,6.56,0.87,0.14,0.0,2019-07-16,2019-07-22,1,2019-07-16,2019-07-16,2019-07-22,The contiguous United States experienced cool temperature departures from average in July 2019.; The contiguous United States experienced a record-breaking 12 months of precipitation in June 2019.,"Objective facts about the Monthly Contiguous U.S. Precipitation situation**
Hurricane Barry brought heavy rain to the Lower Mississippi Valley in mid-July, resulting in above-normal precipitation and below-normal temperatures in this region. Otherwise, a high pressure ridge dominated the southern and western CONUS during July, keeping precipitation below normal. 

**; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record."
20190709,Total,80.66,19.34,3.63,0.81,0.14,0.0,2019-07-09,2019-07-15,1,2019-07-09,2019-07-09,2019-07-15,"The contiguous United States experienced a record-breaking 12 months of precipitation in June 2019.; Above-average precipitation blanketed much of the contiguous U.S. during the year-to-date period of June 2019, with Illinois ranking as the wettest state.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**
Hurricane Barry brought heavy rain to the Lower Mississippi Valley in mid-July, resulting in above-normal precipitation and below-normal temperatures in this region. Otherwise, a high pressure ridge dominated the southern and western CONUS during July, keeping precipitation below normal. 

**; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record."
20190702,Total,89.5,10.5,3.25,0.77,0.14,0.0,2019-07-02,2019-07-08,1,2019-07-02,2019-07-02,2019-07-08,"Above-average precipitation blanketed much of the contiguous U.S. during the year-to-date period of June 2019, with Illinois ranking as the wettest state.; The southeastern United States has experienced increased fall precipitation, primarily due to increases in precipitation intensity rather than frequency.","Objective facts about the Monthly Contiguous U.S. Precipitation situation**
Hurricane Barry brought heavy rain to the Lower Mississippi Valley in mid-July, resulting in above-normal precipitation and below-normal temperatures in this region. Otherwise, a high pressure ridge dominated the southern and western CONUS during July, keeping precipitation below normal. 

**; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record."
20190625,Total,89.37,10.63,3.32,0.82,0.14,0.0,2019-06-25,2019-07-01,1,2019-06-25,2019-06-25,2019-07-01,"The southeastern United States has experienced increased fall precipitation, primarily due to increases in precipitation intensity rather than frequency.; Above-average precipitation blanketed much of the contiguous U.S. during the year-to-date period in 2019, with Illinois ranking wettest and 11 additional states having a top 10 wettest year-to-date period.","Monthly Contiguous U.S. Precipitation situation:
The upper-level circulation during June 2019 was very active, with numerous Pacific weather systems moving in the jet stream flow. However, upper-level ridging early in the month and a northwesterly flow later in the month over the West meant the Pacific weather systems did not contribute much precipitation to the western CONUS, where the month was drier than normal. The fronts and surface lows tapped Gulf of Mexico moisture to bring above-normal precipitation to parts of the Plains to East Coast.; Objective facts about the Monthly Contiguous U.S. Precipitation situation**
Hurricane Barry brought heavy rain to the Lower Mississippi Valley in mid-July, resulting in above-normal precipitation and below-normal temperatures in this region. Otherwise, a high pressure ridge dominated the southern and western CONUS during July, keeping precipitation below normal. 

**; Monthly Contiguous U.S. Precipitation situation: The June precipitation total for the contiguous U.S. was 3.30 inches, 0.37 inch above average, and ranked in the upper third of the 125-year period of record.; The July precipitation total for the contiguous U.S. was 2.69 inches, 0.09 inch below average, and ranked in the middle third of the 125-year period of record."
20190618,Total,88.85,11.15,3.99,0.77,0.14,0.0,2019-06-18,2019-06-24,1,2019-06-18,2019-06-18,2019-06-24,"Above-average precipitation blanketed much of the contiguous U.S. during the year-to-date period in 2019, with Illinois ranking wettest and 11 additional states having a top 10 wettest year-to-date period.; The contiguous United States has experienced an increase in heavy precipitation events over the past century, with some of the biggest increases happening in the Gulf of Mexico region.","Monthly Contiguous U.S. Precipitation situation:
The upper-level circulation during June 2019 was very active, with numerous Pacific weather systems moving in the jet stream flow. However, upper-level ridging early in the month and a northwesterly flow later in the month over the West meant the Pacific weather systems did not contribute much precipitation to the western CONUS, where the month was drier than normal. The fronts and surface lows tapped Gulf of Mexico moisture to bring above-normal precipitation to parts of the Plains to East Coast.; Monthly Contiguous U.S. Precipitation situation: The June precipitation total for the contiguous U.S. was 3.30 inches, 0.37 inch above average, and ranked in the upper third of the 125-year period of record."
20190611,Total,90.04,9.96,3.99,0.54,0.14,0.0,2019-06-11,2019-06-17,1,2019-06-11,2019-06-11,2019-06-17,"The contiguous United States has experienced an increase in heavy precipitation events over the past century, with some of the biggest increases happening in the Gulf of Mexico region.; The contiguous United States recently completed its wettest May to April period on record, with above-average precipitation for much of the U.S. so far this year.","Monthly Contiguous U.S. Precipitation situation:
The upper-level circulation during June 2019 was very active, with numerous Pacific weather systems moving in the jet stream flow. However, upper-level ridging early in the month and a northwesterly flow later in the month over the West meant the Pacific weather systems did not contribute much precipitation to the western CONUS, where the month was drier than normal. The fronts and surface lows tapped Gulf of Mexico moisture to bring above-normal precipitation to parts of the Plains to East Coast.; Monthly Contiguous U.S. Precipitation situation: The June precipitation total for the contiguous U.S. was 3.30 inches, 0.37 inch above average, and ranked in the upper third of the 125-year period of record."
