OT,start_date,date,end_date,search_fact,report_fact
259638,2007-03-01,2007-03-01,2007-03-31,"Objective facts about the Traffic and Transportation situation: 
Traffic volume data is available for certain locations, such as 1,746 vehicles per day on a specific street in North Dumfries Township as of 2015 .
Automatic traffic recorder volume counts are available in the form of excel spreadsheets .; The forecast traffic volumes for a proposed project only warrant a four-lane highway, despite adjacent sections of the circumferential freeway being six-lane.; Traffic volume data is collected from over 3000 programs, and all route, traffic, and travel data are being made available.; The U.S. economy is projected to grow at a conservative annual rate of 2.5 to 3 percent over the next 20 years, resulting in domestic freight tonnage almost doubling.; Current traffic volumes must be collected to analyze the volume warrants, and the right-turning volume for all hours should be considered.","Travel on all roads and streets changed by 0.3 percent for March 2007 as compared with March 2006, with an estimated 255.8 billion vehicle miles traveled. Cumulative travel for 2007 changed by -0.8 percent, with an estimated 700.0 billion vehicle miles of travel."
252595,2007-04-01,2007-04-01,2007-04-30,"Current traffic volumes must be collected to analyze the volume warrants, and the right-turning volume for all hours should be considered.; The speed limit for passenger cars in Ohio is 35 miles per hour or less, with a maximum noise limit of 70 decibels.; Traffic bottlenecks occur when traffic volumes exceed the available capacity of the roadway, leading to congestion.; State-owned roads, while just 8 percent of total route miles, carried 51 percent of the total traffic in the state and are critical to state commerce.; The traffic volume is higher in the summer, and travel times are affected by the tourism industry in Colorado.; Roadway geometry, truck traffic volume, and recreational travelers unfamiliar with local conditions contribute to a higher winter crash rate.","Travel on all roads and streets in the United States changed by -0.4 percent in April 2007 compared to April 2006, with an estimated 247.9 billion vehicle miles traveled. Cumulative travel for 2007 changed by -0.7 percent, with an estimated 947.7 billion vehicle miles of travel."
267574,2007-05-01,2007-05-01,2007-05-31,"Roadway geometry, truck traffic volume, and recreational travelers unfamiliar with local conditions contribute to a higher winter crash rate.; Objective facts about the Traffic and Transportation situation:
The volume of traffic on roads affects the safety of travelers, particularly children who may be less likely to travel on roads with high traffic volume or high speeds. 
Traffic volume and characteristics are important factors in transportation research and planning.; As of 2007, traffic volumes on U.S. roadways are increasing, hampering mobility, and transportation officials are looking for new solutions .; Ramp meters increase freeway speeds and volume as crashes and travel times decrease, according to the U.S. Department of Transportation.; Active infrared sensors can provide vehicle presence, volume, speed measurement, length assessment, queue measurement, and classification at traffic signals.","Travel on all roads and streets changed by 0.9 percent for May 2007 as compared with May 2006, with an estimated 265.0 billion vehicle miles traveled. Cumulative Travel for 2007 changed by -0.4 percent, with a cumulative estimate of 1,212.8 billion vehicle miles of travel."
265374,2007-06-01,2007-06-01,2007-06-30,"Active infrared sensors can provide vehicle presence, volume, speed measurement, length assessment, queue measurement, and classification at traffic signals.; The 65 MPH speed limit in New Jersey was studied for 18 months, and the results showed that design characteristics of the roadway may not be favorable to higher speeds due to heavier traffic volumes.; Objective facts about the Traffic and Transportation situation: 
Traffic volumes and travel speeds are concerns in various locations, including US-95 in Idaho, rural and suburban subdivisions, and downtown areas.; Objective facts about the Traffic and Transportation situation: 
Traffic stops necessarily curtail the travel of individuals. 
Design ESALs are used to determine the traffic levels for pavement design. 
Traffic volumes can vary by neighborhood and time of day. 
High travel speeds and high traffic volume are considered in the design of subdivision streets and state highways.; The Maine Turnpike's E-Z Discount Plan rebates only count tolls incurred on Maine Turnpike trips.","For June 2007, travel on all roads and streets changed by -0.5 percent compared to June 2006, with an estimated 260.3 billion vehicle miles traveled. Cumulative travel for 2007 changed by -0.4 percent, with an estimated 1,473.1 billion vehicle miles of travel."
267106,2007-07-01,2007-07-01,2007-07-31,"The Maine Turnpike's E-Z Discount Plan rebates only count tolls incurred on Maine Turnpike trips.; Cars, trucks, commercial aircraft, and railroads contribute to transportation end-use sector emissions, accounting for a significant portion of greenhouse gas emissions in the US.; The Minnesota Dept. of Transportation conducted a study on Interstate Highway Safety, which compared truck crashes to volumes of truck traffic by the hour of the day.; Objective facts about the Traffic and Transportation situation:
The volume of pass-by trips diverted from a thoroughfare should be re-evaluated if it represents more than 15% of the traffic volume on the street. 
Traffic counts on the Polk Parkway have increased drastically, partly due to growth and congestion on U.S. 98 and I-4. 
Traffic volumes in the Northeast Area are expected to increase in the future.; Closure criteria for train and roadway traffic volume vary by locality and include factors such as speed of trains, number of tracks, and material being carried.; The average size of aircraft has declined, exacerbating air travel congestion.","Travel on all roads and streets changed by 0.4 percent for July 2007 as compared with July 2006, with an estimated 262.3 billion vehicle miles traveled. Cumulative Travel for 2007 changed by -0.3 percent, with an estimated 1,735.4 billion vehicle miles of travel."
271225,2007-08-01,2007-08-01,2007-08-31,"The average size of aircraft has declined, exacerbating air travel congestion.; Broward County operates and maintains a countywide computer-controlled traffic signal system to protect motorists and pedestrians, reduce motorist travel time, and aid in the reduction of traffic congestion.; In 2002, U.S. freight carriers moved 17.5 billion metric tons (19 billion short tons), worth more than $13 trillion.; Traffic volume is an important consideration in project planning, as delays in areas with higher traffic volume will result in greater travel delays to the public.; The surface transportation system of the United States is comprised of approximately 3.9 million miles of roads.","Travel on all roads and streets changed by 1.6 percent for August 2007 as compared with August 2006. The estimated vehicle miles of travel for August 2007 is 269.3 billion vehicle miles. Cumulative travel for 2007 changed by 0 percent, with an estimated 2,005.3 billion vehicle miles of travel."
245965,2007-09-01,2007-09-01,2007-09-30,"The surface transportation system of the United States is comprised of approximately 3.9 million miles of roads.; The Memphis International Airport (MEM) has a flight status system that shows whether flights are on time or delayed, and also has a gate information system.; The I-95 Corridor Coalition and five states (Florida, Georgia, North Carolina, South Carolina, and Virginia) have submitted applications for the Corridors of the Future program.; Objective facts about the Traffic and Transportation situation:
The U.S. DOT's Freight Analysis Framework (FAF Version 2.2) projects 2035 train volumes based on economic growth and commodity forecasts. 
Rapid expansion of the U.S. ethanol industry could increase volumes of ethanol shipments, affecting agricultural transportation.; In 2007, traffic by U.S. residents to Latin America rose 14.2 percent over 1967.","The total vehicle miles traveled (VMT) in September 2007 decreased by 0.9% compared to September 2006, with an estimated 242.9 billion vehicle miles traveled. Cumulative VMT for 2007 decreased by 0.1% compared to the same period in 2006, with an estimated 2,248.5 billion vehicle miles traveled."
261423,2007-10-01,2007-10-01,2007-10-31,The volume of traffic on U.S. 66 in Oklahoma soared after a stretch of highway was paved in 1927.; The District Traffic Control Supervisor shall conduct inspections of state-awarded construction work zones as workload permits.; The traffic volume on US Route 44 between CR 71 (West Road) and CR 47 (South Ave) was factored and counted by CME.; The average 24-Hour Traffic Volume on Interstate 75 at US 33 in Wapakoneta is 573.; The traffic volume on roads is a crucial factor in determining the service volume (or flow rate) of the facility .,"The total vehicle miles traveled (VMT) in October 2007 was 256.9 billion miles, a 0.1% increase compared to October 2006. The cumulative VMT for 2007 was 2,506.0 billion miles, with no change compared to the same period in 2006."
245787,2007-11-01,2007-11-01,2007-11-30,"The traffic volume on roads is a crucial factor in determining the service volume (or flow rate) of the facility .; The US on-time performance for the summer of 2007 has been the worst on record, with over 30 percent of all commercial flights delayed.; Objective facts about the Traffic and Transportation situation:
The effects of build alternatives on travel patterns and traffic volumes, including truck travel, are being studied in Kent and Cecil Counties, Maryland. 
Daily traffic within the transportation network includes three trip categories. 
An inventory of traffic volumes and capacities should be completed for roadways and intersections within and surrounding future growth areas. 
Traffic Volume is calculated as Average Daily Traffic (ADT) on the busiest section of the subject street divided by 300.; Objective facts about the Traffic and Transportation situation:
The volume of traffic on highways defines specific diffusion channels on high-traffic routes . Delaware has guidelines for marking centerlines on state-maintained roadways and uses the Manual on Uniform Traffic Control Devices (MUTCD) . The fatality rate for U.S. passenger car travel is 1.4 times the current rate .; Motor vehicle travel is the primary means of transportation in the United States, providing an unprecedented degree of mobility.","Travel on all roads and streets in the United States decreased by 0.5 percent in November 2007 compared to November 2006, with an estimated 243.3 billion vehicle miles traveled. Cumulative travel for 2007 decreased by 0.1 percent, with an estimated 2,749.4 billion vehicle miles of travel."
240281,2007-12-01,2007-12-01,2007-12-31,"Motor vehicle travel is the primary means of transportation in the United States, providing an unprecedented degree of mobility.; The United States Department of Transportation has regulations in place for preconstruction procedures, including guidelines for traffic volume, incident response, and work duration criteria.; Traffic flow sensors are devices that indicate the presence or absence of vehicles and can be used to measure traffic volume and speed.; The Blue Water Bridge, opened in 1938, forms a critical gateway linking the United States and Canada.; The cost of air travel to the EU may increase demand for air travel to the U.S.; Rising gasoline prices affect driving behavior, leading to changes in highway traffic volumes and speeds, and influencing consumers' choices about the kinds of vehicles to drive.","For December 2007, travel on all roads and streets decreased by 3.9% compared to December 2006, with an estimated 236.6 billion vehicle miles traveled. Cumulative travel for 2007 decreased by 0.4% compared to 2006, with an estimated 3,003.2 billion vehicle miles traveled."
232920,2008-01-01,2008-01-01,2008-01-31,"Rising gasoline prices affect driving behavior, leading to changes in highway traffic volumes and speeds, and influencing consumers' choices about the kinds of vehicles to drive.; Objective facts about the Traffic and Transportation situation:
Traffic volume is a significant factor in transportation planning, with 30 and 40 percent of an area's travel volume contributing to traffic congestion and pollutants in waterways.; New Jersey has high volumes of traffic traveling within northern New Jersey, particularly between Pascack Valley and Union toll barriers.; According to the Cape Cod Commission, there was a 1.48 percent increase in traffic volume over the past year based on 197 weekday counts and 13 summer weekends.; The purpose of the US 6 and Wadsworth Boulevard project is to improve traffic flow and safety, accommodate high traffic volumes, and .","The total vehicle miles traveled in January 2008 was 226.7 billion, a decrease of 1.7% compared to January 2007."
221336,2008-02-01,2008-02-01,2008-02-29,"The purpose of the US 6 and Wadsworth Boulevard project is to improve traffic flow and safety, accommodate high traffic volumes, and .; The United States has a complex transportation system, with various routes and highways, including toll roads like Texas State Highway 130, which can help alleviate traffic congestion in cities like Austin.; Ever higher traffic volumes on many highways make it difficult to perform work in or near travel lanes during much of the day because of the impacts posed to traffic flow.; The transportation analysis model of the corridor considers travel speed, and traffic volume warrants are met when certain conditions are satisfied.; The highways in the Champaign area are on the Interstate Highway System, which provides for high-speed movement of large volumes of traffic.","The total vehicle miles traveled (VMT) in February 2008 decreased by 0.4% compared to February 2007, with an estimated 216.1 billion vehicle miles traveled. Cumulative travel for 2008 decreased by 1.1% compared to the same period in 2007."
252343,2008-03-01,2008-03-01,2008-03-31,"The highways in the Champaign area are on the Interstate Highway System, which provides for high-speed movement of large volumes of traffic.; Traffic volumes along FM 2920 range from 7,000 vehicles per day (VPD) at the western end to 58,900 VPD at the eastern end.; The United States Department of Transportation is involved in various projects related to traffic and transportation, including the Traffic Analysis Toolbox and the MASTER TRANSPORTATION PLAN.; The daily traffic volume on Hwy 5/Hwy 89 in Cabot, AR is 1,746 vehicles.; The volume of traffic is a significant concern in the United States, with travel demand on U.S. roadways outpacing available capacity.; The 2002 AADT volume along Wagner Street was measured to analyze roadway capacity and deficiencies.","The total travel on all roads and streets in the US for March 2008 changed by -4.3% compared to March 2007, with an estimated 246.3 billion vehicle miles traveled. Cumulative travel for 2008 changed by -2.3% compared to the same period in 2007, with an estimated 688.7 billion vehicle miles traveled."
252088,2008-04-01,2008-04-01,2008-04-30,"The 2002 AADT volume along Wagner Street was measured to analyze roadway capacity and deficiencies.; Traffic volume is a significant factor in determining the safety of unsignalized intersections in the United States.; Traffic volumes are a crucial factor in determining intersection safety, and they are often correlated with the number of travel lanes and ADT (Average Daily Traffic).; The United States Coast Guard (USCG) is responsible for traffic services and data collection activities.; The volume of traffic moving over the rails in the United States is affected by factors such as route grade, travel speed, cargo weight, and time.","The total vehicle miles traveled (VMT) in April 2008 decreased by 1.8% compared to April 2007, with an estimated 245.9 billion vehicle miles traveled. The cumulative travel for 2008 changed by -2.1%, with an estimated 934.8 billion vehicle miles of travel."
261466,2008-05-01,2008-05-01,2008-05-31,"The volume of traffic moving over the rails in the United States is affected by factors such as route grade, travel speed, cargo weight, and time.; The average travel time is 3.97 minutes, and traffic volumes are important factors to consider in transportation projects.; Traffic volume is an important factor in determining traffic control guidelines, and adjacent roadways can be affected by utility work zones.; The Federal Lands Highway provides a list of active projects by state, territory, or district, and updates on traffic alerts.; The Harmonized Tariff Schedule of the United States (HTS) sets out the tariff rates and statistical categories for international trade.","May 2008 traffic volume trends show a decrease of 3.7% compared to May 2007, with an estimated 254.7 billion vehicle miles traveled. Cumulative travel for 2008 changed by -2.4%, with an estimated 1,188.5 billion vehicle miles of travel."
257484,2008-06-01,2008-06-01,2008-06-30,"The Harmonized Tariff Schedule of the United States (HTS) sets out the tariff rates and statistical categories for international trade.; Traffic volume is a key factor in determining the need for traffic control devices, such as traffic signals.; The number of travel lanes needed to accommodate 2030 traffic volumes can be ascertained by using level of service thresholds based on variations in the future roadway network.; The world's leading provider of digital flight information, intelligence and analytics for airports, airlines and travel tech companies is OAG.; In the United States, only 10% of youth engage in active travel, and heavy traffic is a deterrent to active travel among boys aged 5-6.; The daily traffic volume along State Highway 1 to the north of SH15A is in the order of 11,500 vehicles per day, with an increase in traffic volumes each year.","The total vehicle miles traveled (VMT) in June 2008 decreased by 4.7% (-12.2 billion vehicle miles) compared to June 2007, with an estimated 250.2 billion vehicle miles traveled. The cumulative VMT for 2008 decreased by 2.8% (-42.1 billion vehicle miles) compared to the same period in 2007."
261600,2008-07-01,2008-07-01,2008-07-31,"The daily traffic volume along State Highway 1 to the north of SH15A is in the order of 11,500 vehicles per day, with an increase in traffic volumes each year.; The FHWA has formalized a methodology for counting pedestrians at intersections and estimating vehicle volumes.; Traffic volume data collected at the Bear Hollow and SR 224 intersections showed about 1300 vehicles per hour in the peak direction during the peak hour.; The Texas Department of Transportation provides data and maps on traffic safety, travel, bridges, etc.; Traffic volumes are higher in the afternoon than in the morning, and continuously collected traffic volume data is essential for understanding traffic patterns.","The total vehicle miles traveled (VMT) in July 2008 decreased by 3.6% (-9.6 billion vehicle miles) compared to July 2007, with an estimated 254.5 billion vehicle miles traveled. Cumulative travel for 2008 decreased by 3.0% (-52.0 billion vehicle miles), with an estimated 1,692.9 billion vehicle miles of travel."
260609,2008-08-01,2008-08-01,2008-08-31,"Traffic volumes are higher in the afternoon than in the morning, and continuously collected traffic volume data is essential for understanding traffic patterns.; Objective facts about the Traffic and Transportation situation: 
Annual traffic fatalities and annual traffic fatality rates per mile of travel are common performance measures for states and federal agencies. 
The average daily traffic (ADT) count for US-75 in Sherman, Texas was 46,961 vehicles in 2006. 
In 2004, the traffic volume on the Main-Danube Canal was significant. 
PTW rider fatalities contribute 15% of all traffic fatalities in the EU.; Reduction in traffic volume on road networks and temporary road closures can be effective in reducing wildlife-vehicle collisions.; The United States Department of Transportation is responsible for managing traffic and transportation in the country.; The fatality rate per 100 million vehicle miles of travel (VMT) decreased to 0.43, the lowest on record, in 2007. Thirty-two States had decreases in the number of fatalities.","The total vehicle miles traveled (VMT) in August 2008 was 253.7 billion, a decrease of 5.6% (-15.0 billion vehicle miles) compared to August 2007. The cumulative VMT for 2008 changed by -3.3% (-67.2 billion vehicle miles)."
239607,2008-09-01,2008-09-01,2008-09-30,"CFR 620 Subpart J requires every state to analyze traffic volumes at intersections.; The Texas Transportation Researcher (Volume) published in 2008 discusses transportation-related topics.; The primary use of traffic counts is for traffic signal evaluations, installation, and optimization, accounting for roughly 80% of the counts.; The current Route 70 roadway is inadequate to handle the traffic volume of 32,300 vehicles a day.; VTrans standards apply on state highways in Vermont, varying by traffic volume.","The total vehicle miles traveled (VMT) in the United States for September 2008 was 232.8 billion, a decrease of 4.4% (-10.7 billion vehicle miles) compared to September 2007. The cumulative VMT for 2008 was 2,177.0 billion, a decrease of 3.5% (-79.2 billion vehicle miles) compared to the same period in 2007."
255848,2008-10-01,2008-10-01,2008-10-31,"VTrans standards apply on state highways in Vermont, varying by traffic volume.; The United States has been experiencing a trend of converting one-way street pairs to two-way streets since the early 1990s.; The estimated traffic volumes for each traffic movement can be estimated within +/- 20 percent of the available traffic counts.; The total traffic volume on Highways 59 and 37 in George West, TX was 11,055 in 2009.; Traffic volumes and freight movements are projected to continue growing, leading to increased congestion and extended travel times.","The total vehicle miles traveled (VMT) in October 2008 decreased by 3.5% (-9.0 billion vehicle miles) compared to October 2007, with an estimated 249.7 billion vehicle miles traveled. The cumulative VMT for 2008 also decreased by 3.5% (-89.2 billion vehicle miles) compared to the same period in 2007."
236465,2008-11-01,2008-11-01,2008-11-30,"Traffic volumes and freight movements are projected to continue growing, leading to increased congestion and extended travel times.; Objective facts about the Traffic and Transportation situation:
The US 93 Corridor Study reported 500 and 2,100 vehicles during the AM peak hour traffic volumes in 2007. 
The Allegheny County Subdivision and Land Development Ordinance uses trip generation rates published in the most recent edition of the Institute of Traffic Engineers (ITE) to calculate traffic volumes. 
The Economic Development History of Interstate 81 in Virginia reports high traffic counts in certain segments.; The estimated cost of freight involved in highway bottlenecks is a significant concern, with HPMS-derived AADTs and FAF2 truck volumes being used to identify traffic data.; The U.S. Department of Transportation identifies thresholds of traffic volumes, speeds, and curb lanes where less experienced bicyclists begin to feel uncomfortable.; In 2008, traffic volume in northeast Florida decreased by about 5 percent on most state roads.","Travel on all roads and streets changed by -5.3% (-12.9 billion vehicle miles) for November 2008 as compared with November 2007, with an estimated 230.4 billion vehicle miles of travel. Cumulative Travel for 2008 changed by -3.7% (-102.1 billion vehicle miles), with a cumulative estimate for the year of 2,656.2 billion vehicle miles of travel."
241742,2008-12-01,2008-12-01,2008-12-31,"The average daily long-haul truck traffic on the national highway system is projected to increase.; The United States has a significant number of highway fatalities, with 24% of all fatalities involving 16- to 25-year-olds, resulting in over 10,000 deaths annually.; Annual Daily Traffic (AADT) volumes in the North Country range from 18,000-27,000 vehicles.; The traffic volume on certain roads is greater than 100 vehicles per day (vpd) and serves more than 2,500 persons.; The Indiana Department of Transportation has a Traffic Management Strategic Plan, which includes Travel Time Signs (TTS) to manage traffic volume on arterials intersecting the interstate.","Travel on all roads and streets in the US changed by -1.6% (-3.8 billion vehicle miles) in December 2008 compared to December 2007, with an estimated 237.2 billion vehicle miles traveled. Cumulative travel for 2008 changed by -3.6% (-107.9 billion vehicle miles), with an estimated 2,921.9 billion vehicle miles of travel."
225529,2009-01-01,2009-01-01,2009-01-31,"The Indiana Department of Transportation has a Traffic Management Strategic Plan, which includes Travel Time Signs (TTS) to manage traffic volume on arterials intersecting the interstate.; The Port of Tampa Bay handles a wide range of commodities from around the world and offers expertise in three areas of cargo activity: bulk, breakbulk, and containerized cargo.; According to the White Flint Sector Plan, traffic volumes on Rockville Pike are no worse during peak hours, and vehicular travel times are similar to those during off-peak hours.; The New Vehicle Report contains statistics on the number of applications for new vehicles processed in a given month.; The U.S. Department of Transportation is concerned with travel lanes and traffic volume.","Travel on all roads and streets in the US changed by -3.1% (-7.0 billion vehicle miles) for January 2009 compared to January 2008, with an estimated 222.4 billion vehicle miles traveled."
217643,2009-02-01,2009-02-01,2009-02-28,"The U.S. Department of Transportation is concerned with travel lanes and traffic volume.; By 2030, national road network intercity traffic projections are expected to increase, based on travel data, freight movement data, and state and territory road traffic data.; The volume of travel increases in the absence of tolls, straining the capacity of the road network.; The United States has over 30,000 roundabouts, which can help decrease delays and congestion.; The total amount of traffic can be reduced by using pricing, which increases travel time for everyone and hence the cost of the trip.","Travel on all roads and streets in the US changed by -0.9% (-1.9 billion vehicle miles) for February 2009 compared to February 2008, with an estimated 215.8 billion vehicle miles traveled. Cumulative travel for 2009 changed by -1.9% (-8.6 billion vehicle miles), with an estimated 438.5 billion vehicle miles traveled."
249741,2009-03-01,2009-03-01,2009-03-31,"The total amount of traffic can be reduced by using pricing, which increases travel time for everyone and hence the cost of the trip.; The total number of air traffic operations at BWI Marshall Airport is available, but the exact figure is not provided.; The U.S. Transportation Command is responsible for DoD traffic management.; The traffic volume is expected to increase, with truck traffic estimated to make up approximately 6 percent of the daily traffic by 2035.; The volume of traffic, including commercial trucks, is a significant consideration in transportation planning.; The Washington State Department of Transportation (WSDOT) has an extensive archive of freeway volume and lane occupancy data as well as an extensive archive of HOV lane volume, vehicle occupancy, and travel time data.","The total vehicle miles traveled (VMT) in March 2009 decreased by 1.2% (-3.1 billion vehicle miles) compared to March 2008, with an estimated 245.1 billion vehicle miles traveled. The cumulative VMT for 2009 decreased by 1.7% (-11.6 billion vehicle miles) compared to the same period in 2008, with an estimated 683.7 billion vehicle miles traveled."
251374,2009-04-01,2009-04-01,2009-04-30,"The Washington State Department of Transportation (WSDOT) has an extensive archive of freeway volume and lane occupancy data as well as an extensive archive of HOV lane volume, vehicle occupancy, and travel time data.; Traffic volumes and speed are important factors in transportation planning, with higher speed traffic requiring superior classification of highways.; In 2010, the Indiana State Government expanded its traffic data collection to include non-state maintained roads.; The United States has a large rural two-lane highway system with relatively low traffic volumes, making significant expenditures for improvements unlikely.; Port Everglades exceeded 1 million TEUs (20-foot equivalent units) in Fiscal Year 2023, making it a leading U.S. container port.","The total travel for April 2009 changed by 0.6% (1.4 billion vehicle miles) compared to April 2008, with an estimated 249.5 billion vehicle miles of travel. The cumulative travel for 2009 changed by -1.1% (-10.0 billion vehicle miles), with an estimated 933.2 billion vehicle miles of travel."
258276,2009-05-01,2009-05-01,2009-05-31,"Port Everglades exceeded 1 million TEUs (20-foot equivalent units) in Fiscal Year 2023, making it a leading U.S. container port.; Traffic volume is an important parameter in data collection for transportation planning, and it is often observed at mid-block locations and intersections.; The FHWA has developed a Traffic Analysis Toolbox with multiple volumes, including a primer, decision support methodology, and case studies.; The Georgia Department of Transportation (GDOT) requires all interstates and state routes with daily traffic volumes more than 25,000 to use porous asphalt policies.; In Vineland, New Jersey, the traffic volume drops to 100 trips per hour and comprises more than 40% of the street's traffic volumes.","The total travel on all roads and streets in the US for May 2009 changed by 0.1% (0.2 billion vehicle miles) compared to May 2008, with an estimated 257.3 billion vehicle miles of travel. Cumulative travel for 2009 changed by -0.8% (-9.9 billion vehicle miles), with an estimated 1,190.5 billion vehicle miles of travel."
258395,2009-06-01,2009-06-01,2009-06-30,"Objective facts about the Traffic and Transportation situation:
The average daily bi-directional traffic volume for SR-99 in the year 2035 is forecasted to be a certain number. 
Over 325 million passengers a year board connecting flights in Asia, Europe, and the United States.; The freight rail system in the US is concentrated among a few major carriers, such as Norfolk Southern and CSX.; Objective facts about the Traffic and Transportation situation:
To safely and efficiently handle increasing traffic volumes in the future, 31 miles of US 10 between the cities of Marshfield and Stevens Point will be improved. 
In many cases, local agencies have no plans for improvements due to factors such as funding, low traffic volumes, or topographical challenges. 
Traffic volume on most of the study roadway segments was used to develop future traffic volume forecasts. 
Speed zones may be appropriate where land use, access, traffic volumes, or crash history call for a change from the statutory speed limit. 
A figure of the projected traffic volumes for the study area is given in the appendix.; Objective facts about the Traffic and Transportation situation:
Rural roads account for a higher number of crashes than expected from the volume of traffic they carry. 
High-traffic volumes and existing delays are a concern on certain routes, such as Route 101 in California. 
Traffic flow density can affect the volume of traffic.; The traffic volume is increasing in various corridors, such as the Geneva to Hoback Junction corridor, which creates congestion and safety issues.","Monthly United States nationwide vehicle miles traveled (VMT) in June 2009 is 256.7 billion vehicle miles, a 2.0% decrease (4.9 billion vehicle miles) compared to June 2008. Cumulative Travel for 2009 changed by -0.4% (-6.1 billion vehicle miles)."
264472,2009-07-01,2009-07-01,2009-07-31,"The traffic volume is increasing in various corridors, such as the Geneva to Hoback Junction corridor, which creates congestion and safety issues.; Traffic count data can be shared instantly with the public through the Count Database System.; Objective facts about the Traffic and Transportation situation: 
Traffic volume is a key consideration in transportation planning, with various sources citing traffic volume data, such as 13,500 vehicles per day (vpd) in the Harrodsburg Bypass Study and 3,000 vehicles per day in the Design and Procedures Manual Section 15.; At high-volume intersections, DLTs (Displaced Left Turns) have the potential to reduce travel times considerably.; Objective facts about the Traffic and Transportation situation:
Container counts (TEUs) for the latest recorded month are available on the Port of Los Angeles website . Major Thoroughfares are designed to carry high volumes of traffic and serve as high-volume travel corridors .","Travel on all roads and streets in the US changed by 2.3% (5.8 billion vehicle miles) in July 2009 compared to July 2008, with an estimated 263.4 billion vehicle miles traveled. Cumulative travel for 2009 changed by 0.0% (-0.6 billion vehicle miles), with an estimated 1,709.2 billion vehicle miles of travel."
260297,2009-08-01,2009-08-01,2009-08-31,"Objective facts about the Traffic and Transportation situation:
Container counts (TEUs) for the latest recorded month are available on the Port of Los Angeles website . Major Thoroughfares are designed to carry high volumes of traffic and serve as high-volume travel corridors .; The INDOT website provides updated traffic statistics and traffic-count camera captures.; The volume of traffic on Snoqualmie Pass can rise to more than 58,000 vehicles on weekends and holidays, and is growing at an annual rate.; Objective facts about the Traffic and Transportation situation:
The United States Department of Transportation, National Highway Traffic Safety Administration has published a report on the long-term effect of ABS in passenger cars and LTVs. 
The traffic count on Francis Avenue in Spokane, WA is 19,200 cpd, and an estimated 18,000 new cars per day will travel on this section of the freeway. 
The United States Government has regulations for federal travel, including travel advances and procured transportation.; The general form of the Traffic Count Investigation Survey has been condensed for consultant counts.; The design of checkpoints should consider current and projected traffic volume to ensure effective border patrol.","The total travel for August 2009 is estimated to be 259.0 billion vehicle miles, a 0.7% change (1.9 billion vehicle miles) compared to August 2008. The cumulative travel for 2009 changed by 0.0% (0.9 billion vehicle miles), with an estimated total of 1,967.8 billion vehicle miles of travel."
241970,2009-09-01,2009-09-01,2009-09-30,"The design of checkpoints should consider current and projected traffic volume to ensure effective border patrol.; The Minnesota Department of Transportation (MnDOT) maintains three types of state entry signs, including Type I - Major Entrance Monument, with 12 total signs.; The traffic analysis component of the US-24 Corridor Management Plan incorporates information on the existing transportation network, such as traffic volumes.; In 2009, vehicle traffic fatalities were a significant concern in the United States, with data available from the National Center for Statistics.; According to the National Highway Traffic Safety Administration (NHTSA), the number of drivers on the road in the United States has been declining over the past two years.",Travel on all roads and streets changed by 2.5% (5.8 billion vehicle miles) for September 2009 as compared with September 2008. The estimated travel for the month is 240.7 billion vehicle miles. Cumulative Travel for 2009 changed by 0.3% (6.7 billion vehicle miles).
252209,2009-10-01,2009-10-01,2009-10-31,"According to the National Highway Traffic Safety Administration (NHTSA), the number of drivers on the road in the United States has been declining over the past two years.; The Port Authority of New York and New Jersey provides current travel times and traffic volume information for various facilities, including the George Washington Bridge, Lincoln Tunnel, and Goethals Bridge.; Today's traffic volumes and travel demands often exceed the capacity of traditional intersections, leading to congestion and safety concerns.; The average daily traffic volume on streets with flexible speed management measures ranges from 10,000 to 20,000 vehicles per day.; The Design Hour Volume (DHV) is a traffic vehicle volume determined for use in the geometric design of highways, and it is the 30th highest hour vehicular volume.","The total travel on all roads and streets in October 2009 changed by -0.5% (-1.4 billion vehicle miles) compared to October 2008, with an estimated 250.8 billion vehicle miles traveled. The cumulative travel for 2009 changed by 0.2% (4.8 billion vehicle miles), with a cumulative estimate of 2,458.8 billion vehicle miles of travel."
237264,2009-11-01,2009-11-01,2009-11-30,"The Design Hour Volume (DHV) is a traffic vehicle volume determined for use in the geometric design of highways, and it is the 30th highest hour vehicular volume.; The Straits of Malacca is a significant maritime traffic route, and increases in volume could affect navigational efficiency and safety.; Objective facts about the Traffic and Transportation situation:
The US Department of Transportation is involved in various studies and projects to improve traffic conditions and transportation infrastructure, including the I-64 to US 23 Ashland Connector Study and the Designing Complex Interchanges project.; The clear zone width is influenced by traffic volume, design speed, and embankment slope.; The terms ""Crash Modification Factors"" and ""Crash Reduction Factors"" are widely used in the field of traffic safety.; The direction of travel in the center lane is switched to the direction having the greater volume, with the transfer typically being made twice.","The total travel for November 2009 changed by 1.4% (3.2 billion vehicle miles) compared to November 2008, with an estimated 236.4 billion vehicle miles traveled. Cumulative travel for 2009 changed by 0.3% (7.6 billion vehicle miles), with an estimated total of 2,694.8 billion vehicle miles of travel."
